== qwen36 Phase-2 engine | cache=256/layer bits=4 pilot=0 wide=1 hot=0 smooth=0.30 conf=0.92 ==
[tok] loaded 248044 pieces (max id 248043) from /mnt/ai-ssd/huggingface/hub/models--Kreuzzelg--qwen36-35b-a3b-colibri-i4/snapshots/9ccfbfa09bc55410a9c9102558ee63077d8a477d/tokenizer.json
[enc] prompt tokens: 15 | generating 16 new tokens
[meta] loaded: q_heads=16 kv_heads=2 head_dim=256 q_head_dim=512 k_head_dim=256 v_head_dim=256 o_in=4096 rotary_dim=64 n_experts=256 topk=8 inter=512 shared_inter=512 n_group=1 topk_group=1 attn_output_gate=1 n_active=10
[meta] DeltaNet: vheads=32 kheads=16 kdim=128 vdim=128 convk=4 conv_dim=8192
resident weights loaded in 11.1s | RSS after load: 9.23 GB
[dense-i8] 291 matrices quantized in 0.8 s, 7.2 GB f32 freed
[CUDA] device 0: Tesla P40, 25.6 GB VRAM, sm_61
[CUDA] device 1: Tesla P40, 25.6 GB VRAM, sm_61
[qtier] dev 0: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] dev 1: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] CUDA VRAM expert tier active: 2 device(s), 1.52 MB/expert
[gpu] MoE experts -> CUDA VRAM tier
[qwen36] int4 packed weights detected — unpacking to int8 in slot
[qtier] warmstart (parallel): all 10240 experts in RAM (int8 only for non-residents), 10240 in VRAM -- 45.1 s
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.019845321 max_abs=0.002020888 cosine=0.99980333 finite=1
[w4a8-stage-input] rows=2 width=2048 rel_l2=0.052361158 max_abs=0.00052641833 cosine=0.99862901 finite=1
[w4a8-stage-hidden] rows=2 width=2048 rel_l2=0.013307167 max_abs=0.00012547756 cosine=0.99991152 finite=1
[w4a8-stage-input] rows=6 width=2048 rel_l2=0.024008528 max_abs=0.00089419447 cosine=0.99971279 finite=1
[w4a8-stage-hidden] rows=6 width=2048 rel_l2=0.013750681 max_abs=0.00057195907 cosine=0.99990587 finite=1
[w4a8-stage-input] rows=1 width=2048 rel_l2=0.041445617 max_abs=0.00060037477 cosine=0.99917034 finite=1
[w4a8-stage-hidden] rows=1 width=2048 rel_l2=0.012682934 max_abs=0.0001609514 cosine=0.99991977 finite=1
[w4a8-stage-input] rows=7 width=2048 rel_l2=0.027450611 max_abs=0.0010617879 cosine=0.99962844 finite=1
[w4a8-stage-hidden] rows=7 width=2048 rel_l2=0.015085643 max_abs=0.00072728097 cosine=0.99988628 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.0075432857 max_abs=0.00077389181 cosine=0.99997155 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.023727861 max_abs=0.0037919283 cosine=0.99971854 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.00936222 max_abs=0.00092194881 cosine=0.99996063 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.020495895 max_abs=0.0036830157 cosine=0.99979007 finite=1
[w4a8-stage-input] rows=2 width=2048 rel_l2=0.012756576 max_abs=0.00077484548 cosine=0.99992137 finite=1
[w4a8-stage-hidden] rows=2 width=2048 rel_l2=0.014849185 max_abs=0.00089097582 cosine=0.99988977 finite=1
[w4a8-stage-input] rows=6 width=2048 rel_l2=0.0065940275 max_abs=0.0012166798 cosine=0.99997927 finite=1
[w4a8-stage-hidden] rows=6 width=2048 rel_l2=0.025438111 max_abs=0.0064828135 cosine=0.99967649 finite=1
[w4a8-stage-input] rows=2 width=2048 rel_l2=0.012758522 max_abs=0.0005713217 cosine=0.99991867 finite=1
[w4a8-stage-hidden] rows=2 width=2048 rel_l2=0.0088841992 max_abs=0.0004770644 cosine=0.9999606 finite=1
[w4a8-stage-input] rows=6 width=2048 rel_l2=0.0093910445 max_abs=0.00065050274 cosine=0.9999561 finite=1
[w4a8-stage-hidden] rows=6 width=2048 rel_l2=0.021388637 max_abs=0.0027338341 cosine=0.99977124 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.014895589 max_abs=0.00096546579 cosine=0.99988944 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.011863491 max_abs=0.00078085624 cosine=0.99992964 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.0141508 max_abs=0.00088566355 cosine=0.9999001 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.014788901 max_abs=0.0013002027 cosine=0.99989064 finite=1
[w4a8-stage-input] rows=2 width=2048 rel_l2=0.017357876 max_abs=0.00080494955 cosine=0.99984989 finite=1
[w4a8-stage-hidden] rows=2 width=2048 rel_l2=0.014316779 max_abs=0.00080379285 cosine=0.99989752 finite=1
[w4a8-stage-input] rows=6 width=2048 rel_l2=0.011415537 max_abs=0.0010894295 cosine=0.99993485 finite=1
[w4a8-stage-hidden] rows=6 width=2048 rel_l2=0.021430013 max_abs=0.0037398096 cosine=0.99977064 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.016286574 max_abs=0.00069069769 cosine=0.99986799 finite=1
